location,date,vaccine,total_vaccinations
Hong Kong,2021-04-04,Pfizer/BioNTech,151983
Hong Kong,2021-04-04,Sinovac,404084
Hong Kong,2021-04-05,Pfizer/BioNTech,163728
Hong Kong,2021-04-05,Sinovac,413504
Hong Kong,2021-04-06,Pfizer/BioNTech,193565
Hong Kong,2021-04-06,Sinovac,422434
Hong Kong,2021-04-07,Pfizer/BioNTech,219537
Hong Kong,2021-04-07,Sinovac,440247
Hong Kong,2021-04-08,Pfizer/BioNTech,244598
Hong Kong,2021-04-08,Sinovac,455704
Hong Kong,2021-04-09,Pfizer/BioNTech,274283
Hong Kong,2021-04-09,Sinovac,470751
Hong Kong,2021-04-10,Pfizer/BioNTech,307577
Hong Kong,2021-04-10,Sinovac,483972
Hong Kong,2021-04-11,Pfizer/BioNTech,339562
Hong Kong,2021-04-11,Sinovac,495329
Hong Kong,2021-04-12,Pfizer/BioNTech,370268
Hong Kong,2021-04-12,Sinovac,507974
Hong Kong,2021-04-13,Pfizer/BioNTech,397768
Hong Kong,2021-04-13,Sinovac,521184
Hong Kong,2021-04-14,Pfizer/BioNTech,414247
Hong Kong,2021-04-14,Sinovac,536862
Hong Kong,2021-04-15,Pfizer/BioNTech,428957
Hong Kong,2021-04-15,Sinovac,552135
Hong Kong,2021-04-16,Pfizer/BioNTech,449248
Hong Kong,2021-04-16,Sinovac,568598
Hong Kong,2021-04-17,Pfizer/BioNTech,472580
Hong Kong,2021-04-17,Sinovac,584691
Hong Kong,2021-04-18,Pfizer/BioNTech,492448
Hong Kong,2021-04-18,Sinovac,598654
Hong Kong,2021-04-19,Pfizer/BioNTech,509676
Hong Kong,2021-04-19,Sinovac,613898
Hong Kong,2021-04-20,Pfizer/BioNTech,522584
Hong Kong,2021-04-20,Sinovac,627072
Hong Kong,2021-04-21,Pfizer/BioNTech,534068
Hong Kong,2021-04-21,Sinovac,639029
Hong Kong,2021-04-22,Pfizer/BioNTech,545794
Hong Kong,2021-04-22,Sinovac,650853
Hong Kong,2021-04-23,Pfizer/BioNTech,559087
Hong Kong,2021-04-23,Sinovac,663793
Hong Kong,2021-04-24,Pfizer/BioNTech,576257
Hong Kong,2021-04-24,Sinovac,676811
Hong Kong,2021-04-25,Pfizer/BioNTech,587132
Hong Kong,2021-04-25,Sinovac,688047
Hong Kong,2021-04-26,Pfizer/BioNTech,602961
Hong Kong,2021-04-26,Sinovac,699241
Hong Kong,2021-04-27,Pfizer/BioNTech,617999
Hong Kong,2021-04-27,Sinovac,708872
Hong Kong,2021-04-28,Pfizer/BioNTech,633052
Hong Kong,2021-04-28,Sinovac,718704
Hong Kong,2021-04-29,Pfizer/BioNTech,648990
Hong Kong,2021-04-29,Sinovac,728521
Hong Kong,2021-04-30,Pfizer/BioNTech,672911
Hong Kong,2021-04-30,Sinovac,740871
Hong Kong,2021-05-01,Pfizer/BioNTech,704169
Hong Kong,2021-05-01,Sinovac,750253
Hong Kong,2021-05-02,Pfizer/BioNTech,733052
Hong Kong,2021-05-02,Sinovac,758888
Hong Kong,2021-05-03,Pfizer/BioNTech,761225
Hong Kong,2021-05-03,Sinovac,768438
Hong Kong,2021-05-04,Pfizer/BioNTech,785883
Hong Kong,2021-05-04,Sinovac,776963
Hong Kong,2021-05-05,Pfizer/BioNTech,808170
Hong Kong,2021-05-05,Sinovac,785452
Hong Kong,2021-05-06,Pfizer/BioNTech,830518
Hong Kong,2021-05-06,Sinovac,793545
Hong Kong,2021-05-07,Pfizer/BioNTech,859909
Hong Kong,2021-05-07,Sinovac,802464
Hong Kong,2021-05-08,Pfizer/BioNTech,893098
Hong Kong,2021-05-08,Sinovac,811363
Hong Kong,2021-05-09,Pfizer/BioNTech,923249
Hong Kong,2021-05-09,Sinovac,818431
Hong Kong,2021-05-10,Pfizer/BioNTech,950164
Hong Kong,2021-05-10,Sinovac,826403
Hong Kong,2021-05-11,Pfizer/BioNTech,971048
Hong Kong,2021-05-11,Sinovac,834029
Hong Kong,2021-05-12,Pfizer/BioNTech,989519
Hong Kong,2021-05-12,Sinovac,841345
Hong Kong,2021-05-13,Pfizer/BioNTech,1007898
Hong Kong,2021-05-13,Sinovac,848744
Hong Kong,2021-05-14,Pfizer/BioNTech,1031159
Hong Kong,2021-05-14,Sinovac,857465
Hong Kong,2021-05-15,Pfizer/BioNTech,1060281
Hong Kong,2021-05-15,Sinovac,865975
Hong Kong,2021-05-16,Pfizer/BioNTech,1081908
Hong Kong,2021-05-16,Sinovac,873177
Hong Kong,2021-05-17,Pfizer/BioNTech,1101944
Hong Kong,2021-05-17,Sinovac,882395
Hong Kong,2021-05-18,Pfizer/BioNTech,1118321
Hong Kong,2021-05-18,Sinovac,892059
Hong Kong,2021-05-19,Pfizer/BioNTech,1129853
Hong Kong,2021-05-19,Sinovac,896694
Hong Kong,2021-05-20,Pfizer/BioNTech,1144807
Hong Kong,2021-05-20,Sinovac,905523
Hong Kong,2021-05-21,Pfizer/BioNTech,1165816
Hong Kong,2021-05-21,Sinovac,915358
Hong Kong,2021-05-22,Pfizer/BioNTech,1192545
Hong Kong,2021-05-22,Sinovac,925279
Hong Kong,2021-05-23,Pfizer/BioNTech,1213484
Hong Kong,2021-05-23,Sinovac,933175
Hong Kong,2021-05-24,Pfizer/BioNTech,1231669
Hong Kong,2021-05-24,Sinovac,943369
Hong Kong,2021-05-25,Pfizer/BioNTech,1246779
Hong Kong,2021-05-25,Sinovac,953319
Hong Kong,2021-05-26,Pfizer/BioNTech,1261012
Hong Kong,2021-05-26,Sinovac,963163
Hong Kong,2021-05-27,Pfizer/BioNTech,1276407
Hong Kong,2021-05-27,Sinovac,973912
Hong Kong,2021-05-28,Pfizer/BioNTech,1298638
Hong Kong,2021-05-28,Sinovac,987678
Hong Kong,2021-05-29,Pfizer/BioNTech,1326702
Hong Kong,2021-05-29,Sinovac,1002155
Hong Kong,2021-05-30,Pfizer/BioNTech,1349217
Hong Kong,2021-05-30,Sinovac,1014816
Hong Kong,2021-05-31,Pfizer/BioNTech,1369620
Hong Kong,2021-05-31,Sinovac,1030882
Hong Kong,2021-06-01,Pfizer/BioNTech,1386361
Hong Kong,2021-06-01,Sinovac,1047703
Hong Kong,2021-06-02,Pfizer/BioNTech,1402068
Hong Kong,2021-06-02,Sinovac,1064496
Hong Kong,2021-06-03,Pfizer/BioNTech,1420963
Hong Kong,2021-06-03,Sinovac,1081819
Hong Kong,2021-06-04,Pfizer/BioNTech,1447517
Hong Kong,2021-06-04,Sinovac,1100217
Hong Kong,2021-06-05,Pfizer/BioNTech,1480588
Hong Kong,2021-06-05,Sinovac,1117662
Hong Kong,2021-06-06,Pfizer/BioNTech,1506549
Hong Kong,2021-06-06,Sinovac,1131037
Hong Kong,2021-06-07,Pfizer/BioNTech,1529498
Hong Kong,2021-06-07,Sinovac,1150238
Hong Kong,2021-06-08,Pfizer/BioNTech,1547784
Hong Kong,2021-06-08,Sinovac,1168436
Hong Kong,2021-06-09,Pfizer/BioNTech,1563824
Hong Kong,2021-06-09,Sinovac,1185263
Hong Kong,2021-06-10,Pfizer/BioNTech,1584474
Hong Kong,2021-06-10,Sinovac,1202845
Hong Kong,2021-06-11,Pfizer/BioNTech,1614120
Hong Kong,2021-06-11,Sinovac,1223632
Hong Kong,2021-06-12,Pfizer/BioNTech,1649180
Hong Kong,2021-06-12,Sinovac,1242716
Hong Kong,2021-06-13,Pfizer/BioNTech,1677194
Hong Kong,2021-06-13,Sinovac,1257202
Hong Kong,2021-06-14,Pfizer/BioNTech,1697741
Hong Kong,2021-06-14,Sinovac,1267144
Hong Kong,2021-06-15,Pfizer/BioNTech,1720299
Hong Kong,2021-06-15,Sinovac,1286109
Hong Kong,2021-06-16,Pfizer/BioNTech,1739028
Hong Kong,2021-06-16,Sinovac,1302839
Hong Kong,2021-06-17,Pfizer/BioNTech,1759934
Hong Kong,2021-06-17,Sinovac,1320835
Hong Kong,2021-06-18,Pfizer/BioNTech,1790249
Hong Kong,2021-06-18,Sinovac,1340851
Hong Kong,2021-06-19,Pfizer/BioNTech,1824022
Hong Kong,2021-06-19,Sinovac,1358690
Hong Kong,2021-06-20,Pfizer/BioNTech,1849516
Hong Kong,2021-06-20,Sinovac,1371156
Hong Kong,2021-06-21,Pfizer/BioNTech,1876257
Hong Kong,2021-06-21,Sinovac,1390417
Hong Kong,2021-06-22,Pfizer/BioNTech,1897867
Hong Kong,2021-06-22,Sinovac,1409804
Hong Kong,2021-06-23,Pfizer/BioNTech,1920632
Hong Kong,2021-06-23,Sinovac,1427723
Hong Kong,2021-06-24,Pfizer/BioNTech,1948138
Hong Kong,2021-06-24,Sinovac,1446641
Hong Kong,2021-06-25,Pfizer/BioNTech,1983587
Hong Kong,2021-06-25,Sinovac,1469136
Hong Kong,2021-06-26,Pfizer/BioNTech,2021904
Hong Kong,2021-06-26,Sinovac,1489378
Hong Kong,2021-06-27,Pfizer/BioNTech,2056978
Hong Kong,2021-06-27,Sinovac,1504509
Hong Kong,2021-06-28,Pfizer/BioNTech,2087430
Hong Kong,2021-06-28,Sinovac,1525603
Hong Kong,2021-06-29,Pfizer/BioNTech,2118808
Hong Kong,2021-06-29,Sinovac,1550294
Hong Kong,2021-06-30,Pfizer/BioNTech,2154178
Hong Kong,2021-06-30,Sinovac,1575188
Hong Kong,2021-07-01,Pfizer/BioNTech,2188107
Hong Kong,2021-07-01,Sinovac,1588910
Hong Kong,2021-07-02,Pfizer/BioNTech,2230054
Hong Kong,2021-07-02,Sinovac,1617078
Hong Kong,2021-07-03,Pfizer/BioNTech,2269908
Hong Kong,2021-07-03,Sinovac,1638947
Hong Kong,2021-07-04,Pfizer/BioNTech,2307157
Hong Kong,2021-07-04,Sinovac,1654646
Hong Kong,2021-07-05,Pfizer/BioNTech,2344927
Hong Kong,2021-07-05,Sinovac,1681519
Hong Kong,2021-07-06,Pfizer/BioNTech,2379883
Hong Kong,2021-07-06,Sinovac,1706418
Hong Kong,2021-07-07,Pfizer/BioNTech,2413684
Hong Kong,2021-07-07,Sinovac,1729891
Hong Kong,2021-07-08,Pfizer/BioNTech,2452710
Hong Kong,2021-07-08,Sinovac,1754620
Hong Kong,2021-07-09,Pfizer/BioNTech,2495485
Hong Kong,2021-07-09,Sinovac,1782093
Hong Kong,2021-07-10,Pfizer/BioNTech,2537104
Hong Kong,2021-07-10,Sinovac,1804618
Hong Kong,2021-07-11,Pfizer/BioNTech,2576110
Hong Kong,2021-07-11,Sinovac,1820653
Hong Kong,2021-07-12,Pfizer/BioNTech,2616290
Hong Kong,2021-07-12,Sinovac,1842234
Hong Kong,2021-07-13,Pfizer/BioNTech,2653565
Hong Kong,2021-07-13,Sinovac,1864751
Hong Kong,2021-07-14,Pfizer/BioNTech,2690356
Hong Kong,2021-07-14,Sinovac,1885262
Hong Kong,2021-07-15,Pfizer/BioNTech,2730318
Hong Kong,2021-07-15,Sinovac,1908668
Hong Kong,2021-07-16,Pfizer/BioNTech,2773474
Hong Kong,2021-07-16,Sinovac,1934497
Hong Kong,2021-07-17,Pfizer/BioNTech,2815014
Hong Kong,2021-07-17,Sinovac,1956411
Hong Kong,2021-07-18,Pfizer/BioNTech,2854947
Hong Kong,2021-07-18,Sinovac,1971797
Hong Kong,2021-07-19,Pfizer/BioNTech,2896442
Hong Kong,2021-07-19,Sinovac,1995451
Hong Kong,2021-07-20,Pfizer/BioNTech,2936046
Hong Kong,2021-07-20,Sinovac,2017549
Hong Kong,2021-07-21,Pfizer/BioNTech,2976379
Hong Kong,2021-07-21,Sinovac,2038036
Hong Kong,2021-07-22,Pfizer/BioNTech,3018470
Hong Kong,2021-07-22,Sinovac,2060210
Hong Kong,2021-07-23,Pfizer/BioNTech,3063909
Hong Kong,2021-07-23,Sinovac,2085554
Hong Kong,2021-07-24,Pfizer/BioNTech,3107499
Hong Kong,2021-07-24,Sinovac,2106509
Hong Kong,2021-07-25,Pfizer/BioNTech,3149532
Hong Kong,2021-07-25,Sinovac,2120484
Hong Kong,2021-07-26,Pfizer/BioNTech,3193162
Hong Kong,2021-07-26,Sinovac,2143572
Hong Kong,2021-07-27,Pfizer/BioNTech,3236097
Hong Kong,2021-07-27,Sinovac,2165518
Hong Kong,2021-07-28,Pfizer/BioNTech,3277606
Hong Kong,2021-07-28,Sinovac,2187226
Hong Kong,2021-07-29,Pfizer/BioNTech,3320878
Hong Kong,2021-07-29,Sinovac,2207037
Hong Kong,2021-07-30,Pfizer/BioNTech,3365952
Hong Kong,2021-07-30,Sinovac,2232259
Hong Kong,2021-07-31,Pfizer/BioNTech,3410209
Hong Kong,2021-07-31,Sinovac,2253028
Hong Kong,2021-08-01,Pfizer/BioNTech,3452402
Hong Kong,2021-08-01,Sinovac,2266625
Hong Kong,2021-08-02,Pfizer/BioNTech,3496629
Hong Kong,2021-08-02,Sinovac,2291446
Hong Kong,2021-08-03,Pfizer/BioNTech,3540915
Hong Kong,2021-08-03,Sinovac,2316078
Hong Kong,2021-08-04,Pfizer/BioNTech,3585406
Hong Kong,2021-08-04,Sinovac,2337020
Hong Kong,2021-08-05,Pfizer/BioNTech,3631228
Hong Kong,2021-08-05,Sinovac,2358391
Hong Kong,2021-08-06,Pfizer/BioNTech,3678154
Hong Kong,2021-08-06,Sinovac,2381994
Hong Kong,2021-08-07,Pfizer/BioNTech,3723897
Hong Kong,2021-08-07,Sinovac,2400860
Hong Kong,2021-08-08,Pfizer/BioNTech,3768024
Hong Kong,2021-08-08,Sinovac,2412114
Hong Kong,2021-08-09,Pfizer/BioNTech,3814221
Hong Kong,2021-08-09,Sinovac,2434629
Hong Kong,2021-08-10,Pfizer/BioNTech,3860924
Hong Kong,2021-08-10,Sinovac,2454744
Hong Kong,2021-08-11,Pfizer/BioNTech,3907829
Hong Kong,2021-08-11,Sinovac,2473332
Hong Kong,2021-08-12,Pfizer/BioNTech,3954139
Hong Kong,2021-08-12,Sinovac,2493010
Hong Kong,2021-08-13,Pfizer/BioNTech,4001805
Hong Kong,2021-08-13,Sinovac,2513863
Hong Kong,2021-08-14,Pfizer/BioNTech,4048528
Hong Kong,2021-08-14,Sinovac,2531209
Hong Kong,2021-08-15,Pfizer/BioNTech,4092795
Hong Kong,2021-08-15,Sinovac,2542290
Hong Kong,2021-08-16,Pfizer/BioNTech,4138453
Hong Kong,2021-08-16,Sinovac,2561667
Hong Kong,2021-08-17,Pfizer/BioNTech,4182900
Hong Kong,2021-08-17,Sinovac,2578651
Hong Kong,2021-08-18,Pfizer/BioNTech,4226722
Hong Kong,2021-08-18,Sinovac,2594844
Hong Kong,2021-08-19,Pfizer/BioNTech,4269908
Hong Kong,2021-08-19,Sinovac,2611299
Hong Kong,2021-08-20,Pfizer/BioNTech,4314269
Hong Kong,2021-08-20,Sinovac,2630006
Hong Kong,2021-08-21,Pfizer/BioNTech,4357882
Hong Kong,2021-08-21,Sinovac,2646031
Hong Kong,2021-08-22,Pfizer/BioNTech,4398244
Hong Kong,2021-08-22,Sinovac,2655927
Hong Kong,2021-08-23,Pfizer/BioNTech,4439739
Hong Kong,2021-08-23,Sinovac,2674277
Hong Kong,2021-08-24,Pfizer/BioNTech,4480400
Hong Kong,2021-08-24,Sinovac,2690585
Hong Kong,2021-08-25,Pfizer/BioNTech,4520929
Hong Kong,2021-08-25,Sinovac,2706407
Hong Kong,2021-08-26,Pfizer/BioNTech,4563472
Hong Kong,2021-08-26,Sinovac,2724544
Hong Kong,2021-08-27,Pfizer/BioNTech,4607604
Hong Kong,2021-08-27,Sinovac,2743502
Hong Kong,2021-08-28,Pfizer/BioNTech,4651480
Hong Kong,2021-08-28,Sinovac,2760501
Hong Kong,2021-08-29,Pfizer/BioNTech,4692377
Hong Kong,2021-08-29,Sinovac,2770701
Hong Kong,2021-08-30,Pfizer/BioNTech,4735506
Hong Kong,2021-08-30,Sinovac,2791515
Hong Kong,2021-08-31,Pfizer/BioNTech,4776758
Hong Kong,2021-08-31,Sinovac,2811639
Hong Kong,2021-09-01,Pfizer/BioNTech,4811018
Hong Kong,2021-09-01,Sinovac,2826707
Hong Kong,2021-09-02,Pfizer/BioNTech,4843951
Hong Kong,2021-09-02,Sinovac,2841592
Hong Kong,2021-09-03,Pfizer/BioNTech,4883709
Hong Kong,2021-09-03,Sinovac,2858056
Hong Kong,2021-09-04,Pfizer/BioNTech,4926608
Hong Kong,2021-09-04,Sinovac,2872417
Hong Kong,2021-09-05,Pfizer/BioNTech,4962258
Hong Kong,2021-09-05,Sinovac,2880033
Hong Kong,2021-09-06,Pfizer/BioNTech,4992624
Hong Kong,2021-09-06,Sinovac,2894987
Hong Kong,2021-09-07,Pfizer/BioNTech,5019214
Hong Kong,2021-09-07,Sinovac,2908464
Hong Kong,2021-09-08,Pfizer/BioNTech,5045568
Hong Kong,2021-09-08,Sinovac,2922061
Hong Kong,2021-09-09,Pfizer/BioNTech,5074251
Hong Kong,2021-09-09,Sinovac,2936209
Hong Kong,2021-09-10,Pfizer/BioNTech,5110072
Hong Kong,2021-09-10,Sinovac,2951996
Hong Kong,2021-09-11,Pfizer/BioNTech,5150240
Hong Kong,2021-09-11,Sinovac,2965278
Hungary,2021-01-01,Pfizer/BioNTech,1095
Hungary,2021-01-08,Pfizer/BioNTech,71815
Hungary,2021-01-15,Moderna,3045
Hungary,2021-01-15,Pfizer/BioNTech,120515
Hungary,2021-01-22,Moderna,3110
Hungary,2021-01-22,Pfizer/BioNTech,153055
Hungary,2021-01-29,Moderna,3289
Hungary,2021-01-29,Pfizer/BioNTech,299730
Hungary,2021-02-05,Moderna,14413
Hungary,2021-02-05,Oxford/AstraZeneca,0
Hungary,2021-02-05,Pfizer/BioNTech,382360
Hungary,2021-02-05,Sputnik V,0
Hungary,2021-02-12,Moderna,17526
Hungary,2021-02-12,Oxford/AstraZeneca,20101
Hungary,2021-02-12,Pfizer/BioNTech,439830
Hungary,2021-02-12,Sputnik V,2385
Hungary,2021-02-19,Moderna,21249
Hungary,2021-02-19,Oxford/AstraZeneca,43574
Hungary,2021-02-19,Pfizer/BioNTech,577726
Hungary,2021-02-19,Sinopharm/Beijing,0
Hungary,2021-02-19,Sputnik V,18484
Hungary,2021-02-26,Moderna,22501
Hungary,2021-02-26,Oxford/AstraZeneca,85258
Hungary,2021-02-26,Pfizer/BioNTech,665513
Hungary,2021-02-26,Sinopharm/Beijing,162077
Hungary,2021-02-26,Sputnik V,19321
Hungary,2021-03-05,Moderna,59086
Hungary,2021-03-05,Oxford/AstraZeneca,101860
Hungary,2021-03-05,Pfizer/BioNTech,772330
Hungary,2021-03-05,Sinopharm/Beijing,368592
Hungary,2021-03-05,Sputnik V,22756
Hungary,2021-03-12,Moderna,74445
Hungary,2021-03-12,Oxford/AstraZeneca,239095
Hungary,2021-03-12,Pfizer/BioNTech,891614
Hungary,2021-03-12,Sinopharm/Beijing,492383
Hungary,2021-03-12,Sputnik V,54724
Hungary,2021-03-19,Moderna,79115
Hungary,2021-03-19,Oxford/AstraZeneca,298517
Hungary,2021-03-19,Pfizer/BioNTech,1054896
Hungary,2021-03-19,Sinopharm/Beijing,505062
Hungary,2021-03-19,Sputnik V,143314
Hungary,2021-03-26,Moderna,84172
Hungary,2021-03-26,Oxford/AstraZeneca,398166
Hungary,2021-03-26,Pfizer/BioNTech,1211790
Hungary,2021-03-26,Sinopharm/Beijing,687323
Hungary,2021-03-26,Sputnik V,233879
Hungary,2021-04-02,Moderna,149942
Hungary,2021-04-02,Oxford/AstraZeneca,427844
Hungary,2021-04-02,Pfizer/BioNTech,1428960
Hungary,2021-04-02,Sinopharm/Beijing,885907
Hungary,2021-04-02,Sputnik V,388391
Hungary,2021-04-09,Moderna,203839
Hungary,2021-04-09,Oxford/AstraZeneca,590675
Hungary,2021-04-09,Pfizer/BioNTech,1633326
Hungary,2021-04-09,Sinopharm/Beijing,1013005
Hungary,2021-04-09,Sputnik V,676266
Hungary,2021-04-16,Johnson&Johnson,0
Hungary,2021-04-16,Moderna,206499
Hungary,2021-04-16,Oxford/AstraZeneca,637425
Hungary,2021-04-16,Pfizer/BioNTech,1849226
Hungary,2021-04-16,Sinopharm/Beijing,1030350
Hungary,2021-04-16,Sputnik V,924750
Hungary,2021-04-23,Johnson&Johnson,0
Hungary,2021-04-23,Moderna,269215
Hungary,2021-04-23,Oxford/AstraZeneca,663482
Hungary,2021-04-23,Pfizer/BioNTech,2169616
Hungary,2021-04-23,Sinopharm/Beijing,1051731
Hungary,2021-04-23,Sputnik V,1097161
Hungary,2021-04-30,Johnson&Johnson,0
Hungary,2021-04-30,Moderna,314650
Hungary,2021-04-30,Oxford/AstraZeneca,669327
Hungary,2021-04-30,Pfizer/BioNTech,2445274
Hungary,2021-04-30,Sinopharm/Beijing,1391195
Hungary,2021-04-30,Sputnik V,1302893
Hungary,2021-05-07,Johnson&Johnson,3022
Hungary,2021-05-07,Moderna,358591
Hungary,2021-05-07,Oxford/AstraZeneca,718481
Hungary,2021-05-07,Pfizer/BioNTech,2693362
Hungary,2021-05-07,Sinopharm/Beijing,1464478
Hungary,2021-05-07,Sputnik V,1520581
Hungary,2021-05-14,Johnson&Johnson,20224
Hungary,2021-05-14,Moderna,400402
Hungary,2021-05-14,Oxford/AstraZeneca,756076
Hungary,2021-05-14,Pfizer/BioNTech,2909481
Hungary,2021-05-14,Sinopharm/Beijing,1515513
Hungary,2021-05-14,Sputnik V,1609566
Hungary,2021-05-21,Johnson&Johnson,48840
Hungary,2021-05-21,Moderna,487077
Hungary,2021-05-21,Oxford/AstraZeneca,780614
Hungary,2021-05-21,Pfizer/BioNTech,3309053
Hungary,2021-05-21,Sinopharm/Beijing,1556829
Hungary,2021-05-21,Sputnik V,1632758
Hungary,2021-05-28,Johnson&Johnson,61253
Hungary,2021-05-28,Moderna,522677
Hungary,2021-05-28,Oxford/AstraZeneca,809727
Hungary,2021-05-28,Pfizer/BioNTech,3562970
Hungary,2021-05-28,Sinopharm/Beijing,1852676
Hungary,2021-05-28,Sputnik V,1694187
Hungary,2021-06-04,Johnson&Johnson,74656
Hungary,2021-06-04,Moderna,543091
Hungary,2021-06-04,Oxford/AstraZeneca,923626
Hungary,2021-06-04,Pfizer/BioNTech,3749177
Hungary,2021-06-04,Sinopharm/Beijing,1932634
Hungary,2021-06-04,Sputnik V,1746818
Hungary,2021-06-11,Johnson&Johnson,84534
Hungary,2021-06-11,Moderna,588126
Hungary,2021-06-11,Oxford/AstraZeneca,974668
Hungary,2021-06-11,Pfizer/BioNTech,3838246
Hungary,2021-06-11,Sinopharm/Beijing,1988148
Hungary,2021-06-11,Sputnik V,1768262
Hungary,2021-06-18,Johnson&Johnson,91904
Hungary,2021-06-18,Moderna,619992
Hungary,2021-06-18,Oxford/AstraZeneca,1027690
Hungary,2021-06-18,Pfizer/BioNTech,3957616
Hungary,2021-06-18,Sinopharm/Beijing,2018784
Hungary,2021-06-18,Sputnik V,1778061
Hungary,2021-06-25,Johnson&Johnson,96881
Hungary,2021-06-25,Moderna,650048
Hungary,2021-06-25,Oxford/AstraZeneca,1066788
Hungary,2021-06-25,Pfizer/BioNTech,4214281
Hungary,2021-06-25,Sinopharm/Beijing,2035373
Hungary,2021-06-25,Sputnik V,1783131
Hungary,2021-07-02,Johnson&Johnson,99609
Hungary,2021-07-02,Moderna,663308
Hungary,2021-07-02,Oxford/AstraZeneca,1164012
Hungary,2021-07-02,Pfizer/BioNTech,4286386
Hungary,2021-07-02,Sinopharm/Beijing,2046334
Hungary,2021-07-02,Sputnik V,1786904
Hungary,2021-07-09,Johnson&Johnson,104340
Hungary,2021-07-09,Moderna,671489
Hungary,2021-07-09,Oxford/AstraZeneca,1194044
Hungary,2021-07-09,Pfizer/BioNTech,4368674
Hungary,2021-07-09,Sinopharm/Beijing,2055481
Hungary,2021-07-09,Sputnik V,1789966
Hungary,2021-07-16,Johnson&Johnson,110168
Hungary,2021-07-16,Moderna,675312
Hungary,2021-07-16,Oxford/AstraZeneca,1209269
Hungary,2021-07-16,Pfizer/BioNTech,4441576
Hungary,2021-07-16,Sinopharm/Beijing,2061652
Hungary,2021-07-16,Sputnik V,1791822
Hungary,2021-07-23,Johnson&Johnson,116247
Hungary,2021-07-23,Moderna,676977
Hungary,2021-07-23,Oxford/AstraZeneca,1213585
Hungary,2021-07-23,Pfizer/BioNTech,4489027
Hungary,2021-07-23,Sinopharm/Beijing,2066542
Hungary,2021-07-23,Sputnik V,1793351
Hungary,2021-07-30,Johnson&Johnson,122677
Hungary,2021-07-30,Moderna,677801
Hungary,2021-07-30,Oxford/AstraZeneca,1238032
Hungary,2021-07-30,Pfizer/BioNTech,4516819
Hungary,2021-07-30,Sinopharm/Beijing,2070374
Hungary,2021-07-30,Sputnik V,1794751
Hungary,2021-08-06,Johnson&Johnson,126106
Hungary,2021-08-06,Moderna,678515
Hungary,2021-08-06,Oxford/AstraZeneca,1240937
Hungary,2021-08-06,Pfizer/BioNTech,4541253
Hungary,2021-08-06,Sinopharm/Beijing,2073838
Hungary,2021-08-06,Sputnik V,1795941
Hungary,2021-08-13,Johnson&Johnson,130196
Hungary,2021-08-13,Moderna,679814
Hungary,2021-08-13,Oxford/AstraZeneca,1242642
Hungary,2021-08-13,Pfizer/BioNTech,4567826
Hungary,2021-08-13,Sinopharm/Beijing,2077832
Hungary,2021-08-13,Sputnik V,1797292
Hungary,2021-08-20,Johnson&Johnson,133170
Hungary,2021-08-20,Moderna,680580
Hungary,2021-08-20,Oxford/AstraZeneca,1243011
Hungary,2021-08-20,Pfizer/BioNTech,4588870
Hungary,2021-08-20,Sinopharm/Beijing,2081116
Hungary,2021-08-20,Sputnik V,1798328
Hungary,2021-08-27,Johnson&Johnson,138548
Hungary,2021-08-27,Moderna,681311
Hungary,2021-08-27,Oxford/AstraZeneca,1243436
Hungary,2021-08-27,Pfizer/BioNTech,4617756
Hungary,2021-08-27,Sinopharm/Beijing,2085862
Hungary,2021-08-27,Sputnik V,1799807
Hungary,2021-09-03,Johnson&Johnson,141498
Hungary,2021-09-03,Moderna,682064
Hungary,2021-09-03,Oxford/AstraZeneca,1243866
Hungary,2021-09-03,Pfizer/BioNTech,4647106
Hungary,2021-09-03,Sinopharm/Beijing,2090849
Hungary,2021-09-03,Sputnik V,1801171
Hungary,2021-09-10,Johnson&Johnson,143119
Hungary,2021-09-10,Moderna,682612
Hungary,2021-09-10,Oxford/AstraZeneca,1244034
Hungary,2021-09-10,Pfizer/BioNTech,4661600
Hungary,2021-09-10,Sinopharm/Beijing,2092912
Hungary,2021-09-10,Sputnik V,1801880
Iceland,2020-12-28,Johnson&Johnson,0
Iceland,2020-12-28,Moderna,1
Iceland,2020-12-28,Oxford/AstraZeneca,0
Iceland,2020-12-28,Pfizer/BioNTech,4
Iceland,2020-12-29,Johnson&Johnson,0
Iceland,2020-12-29,Moderna,1
Iceland,2020-12-29,Oxford/AstraZeneca,0
Iceland,2020-12-29,Pfizer/BioNTech,2527
Iceland,2020-12-30,Johnson&Johnson,0
Iceland,2020-12-30,Moderna,1
Iceland,2020-12-30,Oxford/AstraZeneca,0
Iceland,2020-12-30,Pfizer/BioNTech,4944
Iceland,2020-12-31,Johnson&Johnson,0
Iceland,2020-12-31,Moderna,1
Iceland,2020-12-31,Oxford/AstraZeneca,0
Iceland,2020-12-31,Pfizer/BioNTech,4945
Iceland,2021-01-01,Johnson&Johnson,0
Iceland,2021-01-01,Moderna,1
Iceland,2021-01-01,Oxford/AstraZeneca,0
Iceland,2021-01-01,Pfizer/BioNTech,4945
Iceland,2021-01-02,Johnson&Johnson,0
Iceland,2021-01-02,Moderna,1
Iceland,2021-01-02,Oxford/AstraZeneca,0
Iceland,2021-01-02,Pfizer/BioNTech,4945
Iceland,2021-01-03,Johnson&Johnson,0
Iceland,2021-01-03,Moderna,1
